127.0.0.1 - - [12/Sep/2016:12:53:14 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/index.jsp HTTP/1.1" 200 6637
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/css/content.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/lego.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/main_sub_title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/av_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/lego_128.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/css/other.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/main_list04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/main_list02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/main_list05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/main_list03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/main_list01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/av_dot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/Swing.mp4 HTTP/1.1" 206 9786503
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/premium_pop_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/Swing.mp4 HTTP/1.1" 206 21639
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:15 +0900] "GET /happylego/images/Swing.mp4 HTTP/1.1" 206 7143424
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:21 +0900] "GET /happylego/images/Swing.mp4 HTTP/1.1" 206 135
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:12:53:22 +0900] "GET /happylego/serviceimage/18.jpg HTTP/1.1" 304 -
